uniprot_id	gene_symbol	hein2024_component	hein2024_gt_component	itzhak2016_component
Q9NRG9	AAAS	Endoplasmic reticulum		
Q86V21	AACS	Cytosol		
Q6PD74	AAGAB	Cytosol	Cytosol	
Q2M2I8	AAK1	Cell membrane		
Q9H7C9	AAMDC	Cytosol		
Q13685	AAMP	Cytosol		
Q9Y312	AAR2	Cytosol		
P49588	AARS1	Cytosol		
Q5JTZ9	AARS2	Mitochondrion		Mitochondrion
Q9BTE6	AARSD1	Cytosol		
Q4L235	AASDH	Cytosol	Cytosol	
Q9NRN7	AASDHPPT	Cytosol		
Q9UDR5	AASS	Mitochondrion		
Q9NY61	AATF	Nucleolus		
P80404	ABAT	Mitochondrion		
Q9BZC7	ABCA2	Early endosome		
Q99758	ABCA3	Lysosome		
P08183	ABCB1	Recycling endosome	Cell membrane	Cell membrane
Q9NRK6	ABCB10	Mitochondrion		
O75027	ABCB7	Mitochondrion	Mitochondrion	
Q9NUT2	ABCB8	Mitochondrion	Mitochondrion	
P33527	ABCC1	Cell membrane		
Q5T3U5	ABCC10	Lysosome		
O15439	ABCC4	Cell membrane	Cell membrane	
O15440	ABCC5	Early endosome	Cell membrane	
P33897	ABCD1	Peroxisome	Peroxisome	Peroxisome
P28288	ABCD3	Peroxisome		Peroxisome
O14678	ABCD4	Endoplasmic reticulum		
Q8NE71	ABCF1	Stress granule		
Q9UG63	ABCF2	Translation		
Q9NUQ8	ABCF3	Stress granule		
Q9NUJ1	ABHD10	Mitochondrion		
Q8NFV4	ABHD11	Mitochondrion	Mitochondrion	
Q8N2K0	ABHD12	Endoplasmic reticulum	Endoplasmic reticulum	
Q96IU4	ABHD14B	Cytosol		
O95870	ABHD16A	Endoplasmic reticulum		
Q96GS6	ABHD17A	Recycling endosome		
Q5VST6	ABHD17B	Cell membrane		
Q0P651	ABHD18	Mitochondrion		
Q9BV23	ABHD6	Endoplasmic reticulum	Endoplasmic reticulum	
Q8IZP0	ABI1	Cytoskeleton		
Q9NYB9	ABI2	Cytoskeleton		
Q9NX38	ABITRAM	Cytosol		
P00519	ABL1	Cell membrane		
O14639	ABLIM1	Cytoskeleton		Actin binding proteins
Q12979	ABR	Cytosol		
Q9P1F3	ABRACL	Cytosol		
Q15018	ABRAXAS2	Cytosol		
Q9ULW3	ABT1	Nucleolus		
Q8N961	ABTB2	Cytosol		
A6QL63	ABTB3	Cytosol		
P09110	ACAA1	Peroxisome		Peroxisome
P42765	ACAA2	Mitochondrion	Mitochondrion	
Q13085	ACACA	Cytosol		
Q6JQN1	ACAD10	Mitochondrion	Mitochondrion	
Q709F0	ACAD11	Peroxisome	Peroxisome	
Q9UKU7	ACAD8	Mitochondrion	Mitochondrion	
Q9H845	ACAD9	Mitochondrion		
P11310	ACADM	Mitochondrion	Mitochondrion	Mitochondrion
P16219	ACADS	Mitochondrion	Mitochondrion	
P45954	ACADSB	Mitochondrion	Mitochondrion	Mitochondrion
P49748	ACADVL	Mitochondrion	Mitochondrion	
Q15057	ACAP2	Cytosol		
P24752	ACAT1	Mitochondrion	Mitochondrion	Mitochondrion
Q9BWD1	ACAT2	Cytosol		
Q9H3P7	ACBD3	trans-Golgi network		
Q5T8D3	ACBD5	Peroxisome		Peroxisome
Q9BR61	ACBD6	Cytosol		
Q8N6N7	ACBD7	Cytosol		
Q96AP0	ACD	Nucleus		
Q9UKV3	ACIN1	Nucleus	Nucleus	
P53396	ACLY	Cytosol		
P21399	ACO1	Cytosol		
Q99798	ACO2	Mitochondrion	Mitochondrion	
Q9NPJ3	ACOT13	Mitochondrion		Mitochondrion
P49753	ACOT2	Mitochondrion		
