id	moloney
Tb11.v5.0162	Proteasome
Tb11.v5.0196	Proteasome
Tb11.v5.0200	Proteasome
Tb11.v5.0281	Secretory/Endocytic 3
Tb11.v5.0330	Secretory/Endocytic 2
Tb11.v5.0331	Secretory/Endocytic 2
Tb11.v5.0421	Secretory/Endocytic 1
Tb11.v5.0540	Secretory/Endocytic 2
Tb11.v5.0731	Secretory/Endocytic 3
Tb11.v5.0742	Proteasome
Tb11.v5.1026	Secretory/Endocytic 1
Tb427.BES40.18	Secretory/Endocytic 1
Tb427.BES40.3	Secretory/Endocytic 1
Tb427.BES40.4	Secretory/Endocytic 1
Tb927.1.1200	Mitochondrion - Matrix 1
Tb927.1.1220	Cytosol
Tb927.1.1240	Cytosol
Tb927.1.1420	Cytosol
Tb927.1.1690	Mitochondrion - Matrix 2
Tb927.1.1730	Mitochondrion - Matrix 2
Tb927.1.2450	Nucleus - Chromatin
Tb927.1.2670	Flagellum 1
Tb927.1.2770	Microtubule Structures 1
Tb927.1.3010	Mitochondrion - Matrix 2
Tb927.1.3030	Mitochondrion - Matrix 2
Tb927.1.3200	Cytosol
Tb927.1.3250	Flagellum 1
Tb927.1.3410	Nucleus
Tb927.1.3560	Microtubule Structures 1
Tb927.1.4180	Flagellum 1
Tb927.1.4720	Cytosol
Tb927.1.4890	Secretory/Endocytic 1
Tb927.1.560	Nucleus
Tb927.1.990	Flagellum 1
Tb927.10.10120	Mitochondrion - Matrix 2
Tb927.10.10130	Mitochondrion - Matrix 2
Tb927.10.10160	Mitochondrion - Matrix 2
Tb927.10.10170	Nucleus
Tb927.10.10230	Secretory/Endocytic 3
Tb927.10.10380	Nucleus
Tb927.10.10400	Mitochondrion - Matrix 1
Tb927.10.10445	Nucleus - Chromatin
Tb927.10.1060	Cytosol
Tb927.10.10830	Mitochondrion - Matrix 2
Tb927.10.10840	Secretory/Endocytic 1
Tb927.10.10940	Cytosol
Tb927.10.11030	Mitochondrion - OM
Tb927.10.11160	Mitochondrion - Matrix 2
Tb927.10.11220	Secretory/Endocytic 2
Tb927.10.11250	Flagellum 1
Tb927.10.1130	Flagellum 1
Tb927.10.11310	Intraflagellar Transport
Tb927.10.11390	Ribonucleoproteins 1
Tb927.10.11580	Flagellum 1
Tb927.10.11700	Cytosol
Tb927.10.11770	Mitochondrion - IM
Tb927.10.11800	Flagellum 1
Tb927.10.11850	Microtubule Structures 1
Tb927.10.11870	Mitochondrion - Matrix 2
Tb927.10.11970	Cytosol
Tb927.10.11990	Nucleus
Tb927.10.12040	Cytosol
Tb927.10.12090	Cytosol
Tb927.10.1210	Microtubule Structures 2
Tb927.10.12210	Cytosol
Tb927.10.12240	ER
Tb927.10.12260	Cytosol
Tb927.10.12320	Microtubule Structures 1
Tb927.10.12410	Flagellum 1
Tb927.10.12430	Nucleus
Tb927.10.12490	Microtubule Structures 2
Tb927.10.12500	Secretory/Endocytic 2
Tb927.10.12710	Cytosol
Tb927.10.12720	Microtubule Structures 1
Tb927.10.12840	Mitochondrion - IM
Tb927.10.12870	Flagellum 1
Tb927.10.13040	Secretory/Endocytic 3
Tb927.10.13180	Nucleus
Tb927.10.13210	ER
Tb927.10.13240	Glycosomes
Tb927.10.13290	ER
Tb927.10.13300	Mitochondrion - Matrix 1
Tb927.10.13360	Mitochondrion - Matrix 2
Tb927.10.13560	Cytosol
Tb927.10.13620	Mitochondrion - IM
Tb927.10.13670	Cytosol
Tb927.10.13710	Cytosol
Tb927.10.13860	ER
Tb927.10.13960	Flagellum 1
Tb927.10.14010	Microtubule Structures 1
Tb927.10.14020	Glycosomes
Tb927.10.14030	ER
Tb927.10.14150	ER
Tb927.10.14160	Secretory/Endocytic 2
Tb927.10.14170	Secretory/Endocytic 2
Tb927.10.14200	Secretory/Endocytic 1
Tb927.10.14220	Flagellum 1
Tb927.10.14330	Nucleus
Tb927.10.14460	Flagellum 1
Tb927.10.14530	Proteasome Regulatory Particle
Tb927.10.14560	Flagellum 1
Tb927.10.14570	Flagellum 1
Tb927.10.14680	Nucleus
Tb927.10.14720	Glycosomes
Tb927.10.14780	Cytosol
Tb927.10.14820	Mitochondrion - IM
Tb927.10.14980	Intraflagellar Transport
Tb927.10.14990	Intraflagellar Transport
Tb927.10.15000	Flagellum 1
Tb927.10.15080	Microtubule Structures 2
Tb927.10.15120	Ribonucleoproteins 1
Tb927.10.15170	Nucleus
Tb927.10.15350	Nucleus - Chromatin
Tb927.10.15400	Microtubule Structures 2
Tb927.10.1550	Proteasome Regulatory Particle
Tb927.10.15520	Cytosol
Tb927.10.15580	Flagellum 1
Tb927.10.1560	Nucleus
Tb927.10.15720	Proteasome Regulatory Particle
Tb927.10.15730	Flagellum 1
Tb927.10.15770	Microtubule Structures 1
Tb927.10.16120	Glycosomes
Tb927.10.1720	Nucleus
Tb927.10.1730	Mitochondrion - Matrix 2
Tb927.10.180	Mitochondrion - IM
Tb927.10.1860	Glycosomes
Tb927.10.1890	Flagellum 1
Tb927.10.1960	Nucleus
Tb927.10.210	ER
Tb927.10.2190	Flagellum 1
Tb927.10.230	Proteasome
Tb927.10.2310	Nucleus
Tb927.10.2340	Secretory/Endocytic 1
Tb927.10.2370	Cytosol
Tb927.10.2380	Flagellum 1
Tb927.10.240	Glycosomes
Tb927.10.2440	Secretory/Endocytic 3
Tb927.10.250	Microtubule Structures 1
Tb927.10.2640	Intraflagellar Transport
Tb927.10.270	Ribonucleoproteins 1
Tb927.10.2800	Mitochondrion - Matrix 1
Tb927.10.2860	Microtubule Structures 1
Tb927.10.290	Proteasome
Tb927.10.3030	Proteasome Regulatory Particle
Tb927.10.3040	Mitochondrion - IM
Tb927.10.3080	Glycosomes
Tb927.10.3250	Mitochondrion - Matrix 1
Tb927.10.3310	Flagellum 1
Tb927.10.3520	Proteasome Regulatory Particle
Tb927.10.3560	Cytosol
Tb927.10.3570	Mitochondrion - Matrix 2
Tb927.10.3580	Mitochondrion - Matrix 1
Tb927.10.3780	Microtubule Structures 2
Tb927.10.3790	Nucleus
Tb927.10.4040	ER
Tb927.10.4610	ER
Tb927.10.4710	Proteasome
Tb927.10.4760	ER
Tb927.10.5010	Mitochondrion - Matrix 2
Tb927.10.5080	ER
Tb927.10.5110	Mitochondrion - Matrix 2
Tb927.10.5120	Mitochondrion - Matrix 2
Tb927.10.520	Mitochondrion - IM
Tb927.10.5260	Microtubule Structures 1
Tb927.10.5290	Mitochondrion - Matrix 2
Tb927.10.5350	Flagellum 1
Tb927.10.5430	Flagellum 1
Tb927.10.5440	Mitochondrion - Matrix 2
Tb927.10.5450	Nucleus - Chromatin
Tb927.10.560	Ribonucleoproteins 1
Tb927.10.5810	Cytosol
Tb927.10.5840	Cytosol
Tb927.10.5870	Microtubule Structures 2
Tb927.10.5890	Flagellum 1
Tb927.10.600	Mitochondrion - Matrix 1
Tb927.10.6180	Acidocalcisomes
Tb927.10.6230	Flagellum 1
Tb927.10.6260	Nucleus
Tb927.10.630	Microtubule Structures 1
Tb927.10.6300	Mitochondrion - Matrix 1
Tb927.10.6400	Mitochondrion - Matrix 2
Tb927.10.6440	Cytosol
Tb927.10.650	Flagellum 1
Tb927.10.6610	ER
Tb927.10.6630	Nucleus
Tb927.10.6680	Cytosol
Tb927.10.6850	Mitochondrion - Matrix 1
Tb927.10.7090	Mitochondrion - IM
Tb927.10.720	Microtubule Structures 2
Tb927.10.7230	Flagellum 1
Tb927.10.7510	Flagellum 1
Tb927.10.7690	Flagellum 1
Tb927.10.7880	Flagellum 1
Tb927.10.7910	Mitochondrion - Matrix 2
Tb927.10.7930	Cytosol
Tb927.10.8020	Cytosol
Tb927.10.8030	Mitochondrion - IM
Tb927.10.8060	Cytosol
Tb927.10.8190	Cytosol
Tb927.10.8200	Nucleus
Tb927.10.8210	Mitochondrion - Matrix 2
Tb927.10.830	Flagellum 1
Tb927.10.8590	Microtubule Structures 1
Tb927.10.870	Microtubule Structures 2
Tb927.10.8780	Flagellum 1
Tb927.10.8790	Cytosol
Tb927.10.8930	Flagellum 1
Tb927.10.8940	Microtubule Structures 2
Tb927.10.9130	Nucleus
Tb927.10.9250	Cytosol
Tb927.10.9440	Mitochondrion - IM
Tb927.10.9570	Flagellum 1
Tb927.10.970	Flagellum 1
